AnalysisID,Date,PlotKey,Location,Plot,SubPlot,Block,Rotation,Tillage,NitrateN,Depth,CropName,Year,Winter,Cover,winter
222221791,2022-03-24,21900,2,19,0,2,R2,H,5.04,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221790,2022-03-24,21800,2,18,0,2,R2,P,10.85,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221789,2022-03-24,21700,2,17,0,2,R2,D1,5.64,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221788,2022-03-24,20800,2,8,0,1,R4,D1,5.48,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221787,2022-03-24,20700,2,7,0,1,R4,H,6.11,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221786,2022-03-24,20600,2,6,0,1,R4,P,12.41,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221798,2022-03-24,21000,2,10,0,1,R2,D1,8.5,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221823,2022-03-24,24700,2,47,0,3,R2,P,4.32,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221835,2022-03-24,20116,2,1,6,1,R5,D1,29.2,-2 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221834,2022-03-24,20101,2,1,1,1,R5,D1,12.89,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221833,2022-03-24,20111,2,1,1,1,R5,D1,16.43,-2 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221832,2022-03-24,26400,2,64,0,4,R3,P,8.28,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221831,2022-03-24,26300,2,63,0,4,R3,D1,13.03,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221830,2022-03-24,26200,2,62,0,4,R3,D2,2.02,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221829,2022-03-24,26100,2,61,0,4,R3,H,4.16,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221828,2022-03-24,26000,2,60,0,4,R2,D1,4.27,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221827,2022-03-24,25900,2,59,0,4,R2,P,12.03,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221826,2022-03-24,25800,2,58,0,4,R2,H,5.48,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221809,2022-03-24,23300,2,33,0,3,R3,D1,2.26,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221824,2022-03-24,24800,2,48,0,3,R2,D2,12.25,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221810,2022-03-24,23400,2,34,0,3,R3,H,2.68,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221822,2022-03-24,24600,2,46,0,3,R2,D1,6.17,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221821,2022-03-24,24500,2,45,0,3,R2,H,6.72,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221820,2022-03-24,25200,2,52,0,4,R4,H,9.12,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221819,2022-03-24,25100,2,51,0,4,R4,D2,7.7,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221818,2022-03-24,25000,2,50,0,4,R4,P,8.12,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221817,2022-03-24,24900,2,49,0,4,R4,D1,4.94,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221816,2022-03-24,24000,2,40,0,3,R4,D1,6.71,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221815,2022-03-24,23900,2,39,0,3,R4,H,11.72,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221814,2022-03-24,23800,2,38,0,3,R4,P,7.92,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221813,2022-03-24,23700,2,37,0,3,R4,D2,4.2,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221891,2022-03-24,22920,2,29,10,2,R5,D2,14.1,-2 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221825,2022-03-24,25700,2,57,0,4,R2,D2,7.18,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221942,2022-03-24,24401,2,44,1,3,R5,D1,7.1,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221930,2022-03-24,24101,2,41,1,3,R5,D2,19.86,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221931,2022-03-24,24116,2,41,6,3,R5,D2,14.38,-2 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221932,2022-03-24,24106,2,41,6,3,R5,D2,16.49,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221933,2022-03-24,24211,2,42,1,3,R5,P,10.07,-2 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221934,2022-03-24,24201,2,42,1,3,R5,P,12.2,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221935,2022-03-24,24216,2,42,6,3,R5,P,18.1,-2 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221936,2022-03-24,24206,2,42,6,3,R5,P,18.2,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221937,2022-03-24,24311,2,43,1,3,R5,H,11.5,-2 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221938,2022-03-24,24301,2,43,1,3,R5,H,7.84,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221939,2022-03-24,24316,2,43,6,3,R5,H,14.29,-2 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221887,2022-03-24,22805,2,28,5,2,R4,D1,14.59,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221941,2022-03-24,24411,2,44,1,3,R5,D1,14,-2 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221927,2022-03-24,24001,2,40,1,3,R4,D1,7.03,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221943,2022-03-24,24416,2,44,6,3,R5,D1,18.11,-2 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221903,2022-03-24,23220,2,32,10,2,R5,H,17.06,-2 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221944,2022-03-24,24406,2,44,6,3,R5,D1,11.86,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221945,2022-03-24,24120,2,41,10,3,R5,D2,12.55,-2 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221946,2022-03-24,24110,2,41,10,3,R5,D2,11.91,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221947,2022-03-24,24220,2,42,10,3,R5,P,5.81,-2 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221948,2022-03-24,24210,2,42,10,3,R5,P,3.91,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221949,2022-03-24,24320,2,43,10,3,R5,H,5.76,-2 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221950,2022-03-24,24310,2,43,10,3,R5,H,5.41,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221951,2022-03-24,24420,2,44,10,3,R5,D1,8.02,-2 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221940,2022-03-24,24306,2,43,6,3,R5,H,12.15,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221916,2022-03-24,23406,2,34,6,3,R3,H,13.48,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221904,2022-03-24,23210,2,32,10,2,R5,H,10.3,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221905,2022-03-24,22911,2,29,1,2,R5,D2,14.11,-2 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221906,2022-03-24,22901,2,29,1,2,R5,D2,17.99,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221907,2022-03-24,23011,2,30,1,2,R5,P,10.28,-2 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221908,2022-03-24,23001,2,30,1,2,R5,P,4.79,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221909,2022-03-24,23111,2,31,1,2,R5,D1,5.58,-2 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221910,2022-03-24,23101,2,31,1,2,R5,D1,3.79,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221911,2022-03-24,23211,2,32,1,2,R5,H,7.34,-2 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221912,2022-03-24,23201,2,32,1,2,R5,H,10.38,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221913,2022-03-24,23301,2,33,1,3,R3,D1,16.82,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221929,2022-03-24,24111,2,41,1,3,R5,D2,13.07,-2 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221915,2022-03-24,23401,2,34,1,3,R3,H,9.31,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221928,2022-03-24,24006,2,40,6,3,R4,D1,15.4,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221917,2022-03-24,23501,2,35,1,3,R3,P,8.93,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221918,2022-03-24,23506,2,35,6,3,R3,P,13.92,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221919,2022-03-24,23601,2,36,1,3,R3,D2,15.76,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221920,2022-03-24,23606,2,36,6,3,R3,D2,18.49,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221921,2022-03-24,23701,2,37,1,3,R4,D2,13.36,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221922,2022-03-24,23706,2,37,6,3,R4,D2,17.07,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221923,2022-03-24,23801,2,38,1,3,R4,P,15.19,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221924,2022-03-24,23806,2,38,6,3,R4,P,19.7,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221925,2022-03-24,23901,2,39,1,3,R4,H,9.68,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221926,2022-03-24,23906,2,39,6,3,R4,H,11.72,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221954,2022-03-24,24910,2,49,10,4,R4,D1,6.7,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221914,2022-03-24,23306,2,33,6,3,R3,D1,13.51,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221902,2022-03-24,23205,2,32,5,2,R5,H,16.61,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221952,2022-03-24,24410,2,44,10,3,R5,D1,4.96,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221980,2022-03-24,26210,2,62,10,4,R3,D2,7.35,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221981,2022-03-24,26305,2,63,5,4,R3,D1,25.8,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221982,2022-03-24,26310,2,63,10,4,R3,D1,14.13,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221983,2022-03-24,26405,2,64,5,4,R3,P,18.1,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221984,2022-03-24,26410,2,64,10,4,R3,P,7.68,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221986,2022-03-24,25301,2,53,1,4,R5,D2,12.56,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221987,2022-03-24,25411,2,54,1,4,R5,P,8.27,-2 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221988,2022-03-24,25401,2,54,1,4,R5,P,11.78,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221989,2022-03-24,25511,2,55,1,4,R5,H,6.07,-2 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221978,2022-03-24,26110,2,61,10,4,R3,H,5.48,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221991,2022-03-24,25611,2,56,1,4,R5,D1,5.81,-2 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221977,2022-03-24,26105,2,61,5,4,R3,H,16.92,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221901,2022-03-24,23215,2,32,5,2,R5,H,18.11,-2 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221900,2022-03-24,23110,2,31,10,2,R5,D1,14.63,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221899,2022-03-24,23120,2,31,10,2,R5,D1,29.2,-2 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221898,2022-03-24,23105,2,31,5,2,R5,D1,12.02,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221897,2022-03-24,23115,2,31,5,2,R5,D1,15.73,-2 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221896,2022-03-24,23010,2,30,10,2,R5,P,4.83,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221895,2022-03-24,23020,2,30,10,2,R5,P,14.63,-2 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221894,2022-03-24,23005,2,30,5,2,R5,P,15.17,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221893,2022-03-24,23015,2,30,5,2,R5,P,17.35,-2 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221892,2022-03-24,22910,2,29,10,2,R5,D2,10.85,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221888,2022-03-24,22810,2,28,10,2,R4,D1,6.58,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221990,2022-03-24,25501,2,55,1,4,R5,H,14.16,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221966,2022-03-24,25405,2,54,5,4,R5,P,13.15,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221889,2022-03-24,22915,2,29,5,2,R5,D2,14.94,-2 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221955,2022-03-24,25005,2,50,5,4,R4,P,12.16,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221956,2022-03-24,25010,2,50,10,4,R4,P,6.3,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221957,2022-03-24,25105,2,51,5,4,R4,D2,9.62,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221958,2022-03-24,25110,2,51,10,4,R4,D2,8.19,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221959,2022-03-24,25205,2,52,5,4,R4,H,11.1,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221960,2022-03-24,25210,2,52,10,4,R4,H,9.03,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221961,2022-03-24,25315,2,53,5,4,R5,D2,13.29,-2 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221962,2022-03-24,25305,2,53,5,4,R5,D2,16,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221963,2022-03-24,25320,2,53,10,4,R5,D2,12.97,-2 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221979,2022-03-24,26205,2,62,5,4,R3,D2,13.59,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221965,2022-03-24,25415,2,54,5,4,R5,P,15.18,-2 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221953,2022-03-24,24905,2,49,5,4,R4,D1,12.23,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221967,2022-03-24,25420,2,54,10,4,R5,P,14.08,-2 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221968,2022-03-24,25410,2,54,10,4,R5,P,4.56,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221969,2022-03-24,25515,2,55,5,4,R5,H,14.62,-2 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221970,2022-03-24,25505,2,55,5,4,R5,H,11,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221971,2022-03-24,25520,2,55,10,4,R5,H,11.17,-2 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221972,2022-03-24,25510,2,55,10,4,R5,H,9.67,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221973,2022-03-24,25615,2,56,5,4,R5,D1,13.84,-2 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221974,2022-03-24,25605,2,56,5,4,R5,D1,13.43,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221992,2022-03-24,25601,2,56,1,4,R5,D1,10.41,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221975,2022-03-24,25620,2,56,10,4,R5,D1,13.81,-2 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221976,2022-03-24,25610,2,56,10,4,R5,D1,13.42,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221964,2022-03-24,25310,2,53,10,4,R5,D2,9.76,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221890,2022-03-24,22905,2,29,5,2,R5,D2,11.54,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221731,2022-03-10,24316,2,43,6,3,R5,H,12.8,-2 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221719,2022-03-10,24001,2,40,1,3,R4,D1,7.14,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221720,2022-03-10,24006,2,40,6,3,R4,D1,16.43,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221721,2022-03-10,24111,2,41,1,3,R5,D2,12.78,-2 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221722,2022-03-10,24101,2,41,1,3,R5,D2,20.28,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
